,name,address,latitude,longitude,avg_rating,avg_price,category
0,艾迪多慕思(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区延安西路200号文艺宾馆新楼1楼,31.219666,121.44173,40.0,354.0,意大利菜
1,华万意意大利餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),卢湾区太仓路181弄新天地北里7号楼,31.219019,121.474884,40.0,323.0,意大利菜
2,大马可意大利餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),长宁区东诸安浜路103号维景酒店公寓1楼,31.218105,121.43427,40.0,146.0,意大利菜
3,李奥纳多达芬奇餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区华山路250号希尔顿酒店1楼,31.219276,121.44545,40.0,296.0,意大利菜
4,吉范尼斯(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),长宁区遵义南路5号虹桥喜来登上海太平洋大饭店27楼,31.203594,121.40553,40.0,244.0,意大利菜
5,帕兰朵(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区南京西路1376号波特曼大酒店1楼,31.22708,121.45174,40.0,696.0,意大利菜
6,帕戈意大利餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),黄浦区河南中路88号威斯汀大饭店2楼,31.232384,121.48686,35.0,169.0,意大利菜
7,意庐(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区世纪大道88号金茂君悦大酒店56楼,31.235287,121.505844,40.0,433.0,意大利菜
8,红塔豪华精选酒店Danieli's意大利餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区东方路889号红塔豪华精选酒店39楼,31.22376,121.52824,45.0,211.0,意大利菜
9,Tima Harbour(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),长宁区镇宁路11号,31.215313,121.438324,40.0,83.0,意大利菜
10,临江西餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区浦东南路2111号福朋喜来登由由酒店2楼,31.209538,121.517,30.0,144.0,意大利菜
11,米令意大利餐馆(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),闵行区虹梅路3316号,31.189793,121.38601,35.0,128.0,意大利菜
12,天水恋意大利餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区滨江大道富都段滨江花园内,31.23485,121.498665,35.0,154.0,意大利菜
13,卡美奥意大利艺术餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),浦东新区碧云路633号碧云体育休闲中心A2楼,31.23985,121.58311,40.0,242.0,意大利菜
14,Casanova(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...),静安区巨鹿路913号,31.218042,121.44776,40.0,241.0,意大利菜
